StartDate,EndDate,Status,IPAddress,Progress,duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Instruct. cont.,consent_date,age,race,race_text,income,NRS_Time_First Click,NRS_Time_Last Click,NRS_Time_Page Submit,NRS_Time_Click Count,nrs_1,nrs_2,nrs_3,nrs_4,nrs_5,nrs_6,pmerq_time_First Click,pmerq_time_Last Click,pmerq_time_Page Submit,pmerq_time_Click Count,pmerq_repurp_eng_2,pmerq_sitmod_dis_3,pmerq_sitsel_eng_4,pmerq_sitsel_dis_5,pmerq_recons_dis_7,pmerq_sitsel_dis_9,pmerq_repurp_dis_10,pmerq_repurp_eng_11,pmerq_sitmod_eng_12,pmerq_recons_eng_13,pmerq_sitmod_eng_14,pmerq_repurp_dis_15,pmerq_attdep_eng_16,pmerq_sitsel_eng_17,pmerq_sitmod_eng_18,pmerq_repurp_eng_19,pmerq_attdep_dis_20,pmerq_sitsel_dis_22,pmerq_sitmod_eng_23,pmerq_attdep_eng_24,pmerq_recons_eng_25,pmerq_attdep_dis_27,pmerq_recons_eng_28,pmerq_respmod_eng_29,pmerq_sitmod_dis_30,pmerq_attdep_dis_32,pmerq_recons_dis_33,pmerq_repurp_dis_34,pmerq_recons_dis_36,pmerq_sitmod_eng_37,pmerq_attdep_eng_38,pmerq_repurp_dis_39,pmerq_sitsel_dis_41,pmerq_sitmod_dis_42,pmerq_repurp_eng_43,pmerq_sitsel_dis_45,pmerq_attdep_dis_46,pmerq_recons_eng_47,pmerq_sitmod_dis_48,pmerq_sitsel_dis_49,pmerq_attdep_eng_51,pmerq_attdep_eng_52,pmerq_repurp_eng_53,pmerq_sitsel_eng_54,pmerq_respmod_dis_57,pmerq_respmod_dis_58,pmerq_recons_dis_60,pmerq_sitmod_eng_61,ac_1,pmerq_attdep_dis_63,pmerq_sitsel_eng_64,pmerq_recons_dis_65,pmerq_recons_eng_67,pmerq_repurp_eng_68,pmerq_respmod_eng_69,pmerq_sitmod_dis_70,pmerq_respmod_dis_72,pmerq_respmod_eng_73,SWL_Time_First Click,SWL_Time_Last Click,SWL_Time_Page Submit,SWL_Time_Click Count,swl_1,swl_2,swl_3,swl_4,swl_5,RS_Time_First Click,RS_Time_Last Click,RS_Time_Page Submit,RS_Time_Click Count,rrs_brood_1,rrs_brood_2,rrs_brood_3,rrs_brood_4,rrs_brood_5,PANAS_Time_First Click,PANAS_Time_Last Click,PANAS_Time_Page Submit,PANAS_Time_Click Count,panas_pa_1,panas_na_2,panas_pa_3,panas_na_4,panas_pa_5,panas_na_6,panas_na_7,panas_na_8,panas_pa_9,panas_pa_10,panas_na_11,panas_pa_12,panas_na_13,panas_pa_14,panas_na_15,panas_pa_16,panas_pa_17,panas_na_18,panas_pa_19,panas_na_20,ACE_Time_First Click,ACE_Time_Last Click,ACE_Time_Page Submit,ACE_Time_Click Count,ace_1,ace_2,ace_3,ace_4,ace_5,ace_6,ace_7,ace_8,ace_9,ace_10,Nature_Time_First Click,Nature_Time_Last Click,Nature_Time_Page Submit,Nature_Time_Click Count,nature_freq,nature_time,nature_setting,perceived_exertion,FCV_Time_First Click,FCV_Time_Last Click,FCV_Time_Page Submit,FCV_Time_Click Count,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7,PSS_Time_First Click,PSS_Time_Last Click,PSS_Time_Page Submit,PSS_Time_Click Count,pss_1,pss_2,pss_3,pss_4_r,pss_5_r,pss_6,pss_7_r,pss_8_r,ac_2,pss_9,pss_10,MacArthur_Time_First Click,MacArthur_Time_Last Click,MacArthur_Time_Page Submit,MacArthur_Time_Click Count,macarthur_us_rung,macarthur_us_salience,macarthur_comm_rung,macarthur_comm_salience,FM_Time_First Click,FM_Time_Last Click,FM_Time_Page Submit,FM_Time_Click Count,fm_1,fm_2,fm_3,fm_4,fm_5,fm_6,fm_7,ac_3,fm_8,fm_9,fm_10,fm_11,fm_12,SDS_Time_First Click,SDS_Time_Last Click,SDS_Time_Page Submit,SDS_Time_Click Count,sds_1,sds_2,sds_3,sds_4,sds_5_r,sds_6,sds_7_r,sds_8,sds_9_r,sds_10_r,sds_11,sds_12,sds_13_r,SitSelect_Time_First Click,SitSelect_Time_Last Click,SitSelect_Time_Page Submit,SitSelect_Time_Click Count,ss_approach_1,ss_approach_2,ss_approach_3,ss_approach_4,ss_avoid_5,ss_avoid_6,TAS_Time_First Click,TAS_Time_Last Click,TAS_Time_Page Submit,TAS_Time_Click Count,tas_dif_1,tas_ddf_2,tas_dif_3,tas_ddf_4_r,tas_eot_5_r,tas_dif_6,tas_dif_7,tas_eot_8,tas_dif_9,tas_eot_10_r,tas_ddf_11,tas_ddf_12,tas_dif_13,tas_dif_14,tas_eot_15,tas_eot_16,tas_ddf_17,tas_eot_18_r,tas_eot_19_r,tas_eot_20,PAQ_Time_First Click,PAQ_Time_Last Click,PAQ_Time_Page Submit,PAQ_Time_Click Count,paq_neg_ddf_1,paq_neg_dif_2,paq_gen_eot_3,paq_pos_ddf_4,paq_pos_dif_5,paq_gen_eot_6,paq_neg_ddf_7,paq_neg_dif_8,paq_gen_eot_9,paq_pos_ddf_10,paq_pos_dif_11,paq_gen_eot_12,paq_neg_ddf_13,paq_neg_dif_14,paq_gen_eot_15,paq_pos_ddf_16,paq_pos_dif_17,paq_gen_eot_18,paq_neg_ddf_19,ac_4,paq_neg_dif_20,paq_gen_eot_21,paq_pos_ddf_22,paq_pos_dif_23,paq_gen_eot_24,Dem_Time_First Click,Dem_Time_Last Click,Dem_Time_Page Submit,Dem_Time_Click Count,gender,gender_text,edu,zipcode,zipcode_duration,relationship,employment,employment_text,occupation,Occupation_11_TEXT,SC0,SC2,SC3,SC4,SC5,SC6,SC11,SC13,SC15,SC17,SC18,opp,QPMID,RISN,rid,Q_HCL,Q_BallotBoxStuffing,cintid,ProjectToken,gc,term,LS
2021-03-18 17:28:29,2021-03-18 17:57:48,IP Address,99.5.69.50,100,1759,True,2021-03-18 17:57:49,R_OKhTdCvnoVkIDiV,NA,NA,NA,NA,30.2440948486328125,-81.61550140380859375,anonymous,EN,1,NA,0,0,NA,Yes,03/18/2021,46,White/Caucasian,NA,"$20,000 to $29,999",0.442,13.274,15.816,11,4,NA,4,4,2,4,12.52,113.095,115.223,27,-1,-2,1,2,2,-2,1,-1,3,-1,-2,2,1,-2,-1,1,2,2,-1,2,3,3,-1,1,-1,2,2,1,2,-2,1,2,3,2,3,2,2,3,2,1,2,2,1,-1,1,2,1,2,0,2,2,2,1,1,-2,3,-1,2,4.472,18.821,21.645,10,NA,NA,NA,NA,NA,7.768,20.209,22.598,8,4,2,3,3,3,18.404,181.385,183.985,28,4,1,1,1,3,1,3,3,3,2,3,3,1,1,1,1,1,1,1,1,2.762,28.474,33.304,18,0,0,0,0,0,0,0,0,0,0,5.302,62.15,63.37,13,4,30,Urban/suburban parks or public gardens,8 (Extremely light),50.963,112.799,114.267,12,4,4,NA,4,4,4,4,5.691,84.568,108.573,20,2,0,1,2,1,2,1,1,1,0,2,5.409,22.853,24.181,14,2,0,2,0,5.768,68.229,72.106,33,4,4,4,3,3,8,5,0,5,9,4,5,4,66.453,98.856,101.38,18,1,0,1,0,0,0,1,1,1,0,0,0,0,1.549,14.763,17.233,11,NA,NA,NA,NA,NA,NA,32.101,99.952,102.183,33,3,3,2,2,4,2,4,4,1,4,2,4,3,4,2,3,2,4,2,4,8.974,153.164,156.587,46,3,5,5,4,2,6,5,4,5,3,5,3,1,6,1,5,1,1,4,1,5,4,5,3,5,0.728,5.986,7.982,4,Male,NA,Some college but no degree,32217,> 3 years,Married,Not working (disabled),NA,Unemployed,NA,188,21,19,15,64,0,27,12,4,34,30,Qual2591-0129-S1,73543697,10356239,6053e149-e883-141f-0edf-73297234f404,NA,NA,NA,NA,1,NA,1081
2021-03-19 14:49:12,2021-03-19 14:58:40,IP Address,70.114.78.212,100,567,True,2021-03-19 14:58:40,R_8vRSAENg7bul2jT,NA,NA,NA,NA,32.817901611328125,-96.63189697265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,15/02/1986,33,Native Hawaiian/Pacific Islander,NA,"Less than $10,000",0.665,8.133,9.32,15,NA,2,2,NA,NA,NA,2.172,37.941,39.29,32,-2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,-1,-1,-1,-1,-1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-2,1,1,1,-1,-1,-1,1,-1,1,2,0,2,-1,1,1,1,1,-2,2,1,7.689,15.17,17.575,12,NA,NA,NA,NA,NA,0.475,5.64,6.973,11,3,3,4,2,3,0.965,23.8,25.25,40,3,3,3,3,3,3,3,3,3,4,2,3,3,3,2,4,4,4,4,3,0.434,13.527,14.673,23,1,1,0,0,0,0,0,0,0,1,1.127,17.827,22.732,6,3,54,Neighborhood trees,8 (Extremely light),0.548,9.517,13.366,16,NA,2,NA,4,4,4,4,7.914,22.27,23.548,23,2,2,2,2,2,2,2,1,0,2,2,11.272,20.553,21.741,7,10,5,7,4,2.718,21.369,22.723,29,5,4,4,5,5,4,4,0,5,5,3,4,4,1.057,15.625,16.81,26,1,1,1,0,0,0,0,1,0,0,1,1,0,1.258,8.889,12.453,13,NA,NA,2,NA,NA,NA,1.848,25.602,26.727,39,4,2,2,2,2,3,3,3,3,4,3,4,4,2,4,3,3,3,3,3,0.465,35.221,36.673,47,3,4,5,4,4,4,4,3,3,4,4,4,5,4,4,4,3,4,5,0,3,4,4,3,4,4.634,8.601,9.855,6,Female,NA,Less than high school degree,NA,1 - 3 years,Married,Working (paid employee),NA,Student,NA,223,16,15,15,92,3,24,19,17,49,43,Qual2591-0129-S1,73543697,10459396,60550e50-9ace-b396-62d1-77370f7d5ca9,NA,NA,NA,NA,1,NA,359
2021-03-19 14:41:45,2021-03-19 15:06:53,IP Address,98.206.161.15,100,1507,True,2021-03-19 15:06:53,R_393BpIlWLEAgva9,NA,NA,NA,NA,41.8018035888671875,-87.59929656982421875,anonymous,EN,NA,NA,0,30,NA,Yes,01/03/1986,36,African American/Black,NA,"$150,000 to $199,999",9.613,29.096,29.915,10,2,5,4,5,5,5,15.039,85.159,86.258,29,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,1,2,2,2,2,2,2,2,-1,2,22.573,38.25,39.194,9,NA,NA,NA,NA,NA,17.911,35.095,36.326,11,1,3,1,1,1,32.106,60.494,62.017,28,5,1,5,1,5,1,1,1,4,4,1,3,1,4,1,5,5,1,5,1,14.915,41.615,42.584,16,0,0,0,0,0,0,0,0,0,0,34.467,55.8,57.101,12,5,9,Yard or personal garden,11 (Light),6.902,23.242,24.311,12,4,4,2,2,2,2,2,9.307,67.989,69.091,16,1,1,1,0,0,1,1,0,1,1,1,3.673,20.297,20.711,14,7,6,7,6,4.664,69.943,71.281,44,10,10,10,10,10,10,10,1,10,10,10,0,0,10.901,77.308,78.294,22,1,1,1,1,1,1,1,1,1,1,1,1,1,5.521,36.74,37.78,11,NA,NA,NA,NA,4,NA,4.801,114.146,115.335,34,1,1,1,2,3,1,3,4,1,1,1,5,1,1,4,1,1,2,1,1,7.74,101.054,102.346,41,1,1,1,1,1,6,1,1,3,1,1,1,1,1,5,1,1,2,1,0,1,1,1,1,1,1.702,3.823,4.641,4,Female,NA,"Professional degree (JD, MD)",75247,> 3 years,Married,Working (paid employee),NA,"Management, professional, and related",NA,161,26,11,7,57,0,18,7,14,47,10,Qual2591-0129-S1,73543697,10459396,60550c86-85dc-4b30-0bc6-a80c0eecedd7,NA,NA,NA,NA,1,FraudDetection,359
2021-03-19 14:41:53,2021-03-19 15:07:32,IP Address,68.104.125.142,100,1538,True,2021-03-19 15:07:32,R_1DuUleJ9X3StFcS,NA,NA,NA,NA,36.2624969482421875,-115.1732025146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,03/19/2021,41,"White/Caucasian,American Indian/Alaska Native",NA,Prefer not to answer,11.087,38.57,40.317,15,2,NA,NA,4,NA,NA,7.015,109.461,111.129,45,1,-1,2,1,-2,1,-1,-2,1,2,-2,-2,-3,3,-1,1,-2,-1,1,-2,2,-2,1,-2,-1,-2,-2,2,-1,-2,-3,-1,-1,-2,-1,-1,-2,1,-2,-1,-2,-2,-2,-2,2,2,1,-1,1,-2,2,1,2,-1,-1,-2,-1,2,1.443,44.983,46.134,21,NA,NA,NA,NA,NA,13.194,40.543,42.001,16,2,1,2,2,2,12.358,69.334,71.528,59,3,2,3,2,1,1,1,2,3,4,2,4,1,3,2,3,3,2,2,4,15.215,69.135,70.595,31,0,0,0,0,0,0,0,0,0,0,1.15,43.942,48.372,13,3,0,NA,NA,5.607,35.3,37.13,21,4,NA,1,4,2,2,2,2.863,77.957,78.902,34,1,2,2,2,2,2,2,2,1,2,2,9.926,35.869,38.463,13,4,1,4,1,4.948,94.182,95.52,36,5,5,3,8,4,3,6,1,4,5,8,5,8,8.374,72.334,73.57,43,0,1,0,1,1,1,1,0,1,1,1,0,0,0.938,35.041,36.262,19,NA,4,4,4,NA,NA,6.781,178.064,179.613,60,3,4,5,3,2,1,3,3,2,5,2,5,3,2,5,3,5,1,5,2,3.195,141.72,143.669,72,3,2,6,6,4,6,3,5,7,4,5,6,6,4,5,4,4,6,4,0,3,7,5,3,7,2.715,7.783,8.705,6,Male,NA,High school graduate (high school diploma or equivalent including GED),89031,> 3 years,Married,Working (paid employee),NA,Service,NA,177,18,15,9,61,0,18,19,8,33,28,Qual2591-0129-S1,73543697,10459396,60550caa-de85-c457-19b9-e2933078d4f7,NA,NA,NA,NA,1,NA,359
2021-03-19 15:00:23,2021-03-19 15:17:59,IP Address,174.110.24.119,100,1056,True,2021-03-19 15:18:00,R_3pamRfvEXwbXR2W,NA,NA,NA,NA,35.0276031494140625,-78.9709014892578125,anonymous,EN,1,NA,0,10,NA,Yes,03/19/2021,58,Puerto Rican,NA,"$40,000 to $49,999",5.402,21.17,22.93,10,2,5,4,4,4,4,167.324,181.324,182.093,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,2,2.572,4.396,5.389,5,NA,NA,NA,NA,NA,6.374,8.183,8.985,5,3,3,3,3,3,24.879,127.224,128.089,22,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,13.759,69.111,71.256,12,1,0,0,0,0,0,0,0,0,0,7.206,12.07,18.244,2,4,8,Urban/suburban parks or public gardens,11 (Light),2.871,7.431,8.142,7,4,4,4,4,4,4,4,1.96,13.479,14.28,11,2,2,2,2,2,2,2,2,1,2,2,2.64,10.032,11.828,4,5,5,5,5,3.201,13.558,14.872,15,5,5,5,5,5,5,5,0,5,5,5,5,5,5.258,86.705,87.539,15,1,1,1,1,1,1,1,1,1,0,1,0,0,4.46,18.004,21.267,6,4,4,4,4,4,4,4.938,27.258,28.13,20,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38.822,54.43,55.274,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,1.728,3.728,200.891,2,Male,NA,Bachelor's degree in college (4-year),28348,> 3 years,Married,Working (paid employee),NA,"Management, professional, and related",NA,203,23,20,15,58,1,28,20,10,30,28,Qual2591-0129-S1,73543697,10459396,605510de-c6a0-808f-c2d5-5ba6e44480a5,NA,NA,NA,NA,1,NA,359
2021-03-19 15:19:11,2021-03-19 15:27:18,IP Address,67.245.82.61,100,486,True,2021-03-19 15:27:18,R_3k66uvkW4yV63OZ,NA,NA,NA,NA,40.701507568359375,-73.84220123291015625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,01/01/1990,25,White/Caucasian,NA,"$90,000 to $99,999",1.282,6.672,9.178,8,5,5,5,5,5,5,1.293,20.008,21.423,24,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,0.823,11.284,12.848,14,NA,NA,NA,NA,NA,0.868,7.941,9.839,13,4,4,4,4,4,2.033,31.074,32.722,45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.935,18.483,19.98,24,1,1,1,1,1,1,1,1,1,1,0.436,15.312,23.818,8,8,2,"Lakes, rivers, or the ocean",8 (Extremely light),1.642,9.715,11.746,13,5,5,5,5,5,5,5,2.011,21.969,23.589,27,4,4,4,0,0,4,0,0,1,4,4,0.805,14.126,15,7,10,10,10,10,0.71,27.359,28.974,30,10,10,10,10,10,10,10,0,10,10,10,10,10,0.552,15.645,16.735,22,0,0,0,0,1,0,1,0,1,1,0,0,1,1.27,10.651,12.242,15,NA,NA,NA,NA,NA,NA,1.712,22.149,25.825,28,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,0.663,30.315,31.6,39,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,6,1.224,9.632,11.072,10,Male,NA,Master's degree,11435,1 - 3 years,Married,Working (paid employee),NA,Student,NA,260,30,5,20,100,10,35,24,20,50,50,Qual2591-0129-S1,73543697,10459396,60551546-6500-8a52-3382-7771aaa813a7,NA,NA,NA,NA,1,NA,359
2021-03-19 15:11:02,2021-03-19 15:34:02,IP Address,47.149.64.235,100,1379,True,2021-03-19 15:34:02,R_2VqqxQObsKjItHf,NA,NA,NA,NA,33.517303466796875,-117.1208038330078125,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,NA,0,0,NA,Yes,05/24/1990,31,White/Caucasian,NA,"$100,000 to $149,999",11.265,22.41,36.242,9,4,5,NA,4,5,NA,30.899,83.358,84.938,26,1,2,3,1,-1,1,2,3,1,2,-2,1,3,1,2,2,1,2,2,2,3,2,2,3,2,1,3,2,1,2,2,1,3,2,3,2,2,-1,3,2,2,1,2,2,3,2,1,3,1,1,2,1,3,2,3,2,1,2,27.862,41.414,43.42,11,NA,NA,NA,NA,NA,0.959,9.605,16.487,9,3,3,3,4,4,1.641,55.288,56.367,30,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,1.939,43.243,44.143,28,1,1,1,1,0,0,1,0,1,0,59.547,136.819,137.802,19,5,5,Urban/suburban parks or public gardens,11 (Light),3.144,30.36,31.755,14,5,5,4,5,4,4,NA,1.791,20.834,21.927,18,3,3,4,2,1,3,2,1,1,1,2,0.849,85.434,86.569,32,4,6,7,6,6.141,30.015,35.8,24,8,5,3,5,7,4,5,1,4,5,2,6,3,4.556,30.408,31.597,23,0,1,0,0,0,0,0,0,0,1,1,0,0,1.902,13.386,14.012,13,4,NA,4,NA,4,NA,27.137,76.302,78.409,36,4,4,4,3,2,4,5,3,4,3,4,4,4,3,4,4,5,2,2,3,1.618,119.311,121.159,46,7,5,5,5,6,6,7,5,4,5,7,5,5,6,5,6,5,5,5,0,5,3,6,5,5,1.864,7.585,8.592,8,Male,NA,"Professional degree (JD, MD)",30002,> 3 years,Married,Working (paid employee),NA,Government,NA,240,24,13,17,92,6,30,22,11,48,44,Qual2591-0129-S1,73543697,10459396,6055133c-0055-8815-37fe-e8160ba00d6f,NA,NA,NA,NA,1,NA,359
2021-03-19 15:30:17,2021-03-19 15:49:16,IP Address,71.57.221.43,100,1138,True,2021-03-19 15:49:16,R_2tfDA4mgFFAknA4,NA,NA,NA,NA,36.5742034912109375,-79.44210052490234375,anonymous,EN,1,NA,0,0,NA,Yes,05/05/1967,53,African American/Black,NA,"$70,000 to $79,999",7.72,18.263,19.403,9,5,5,5,5,5,5,23.751,150.027,151.424,30,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,0,2,3,3,3,3,3,3,3,3,5.219,20.992,22.675,10,NA,NA,NA,NA,NA,4.241,23.017,24.307,9,3,3,3,3,3,8,48.921,50.569,33,5,5,5,1,4,1,4,4,4,5,1,5,1,5,1,5,4,1,5,1,12.06,58.432,67.278,20,0,0,0,0,0,1,0,0,0,0,44.747,74.512,78.614,10,NA,20,Yard or personal garden,19 (Extremely hard),3.69,30.468,31.483,12,5,5,5,5,5,5,5,8.701,35.893,37.574,22,2,2,2,2,0,4,0,0,1,4,4,2.634,36.137,37.207,17,7,6,8,6,12.264,46.643,48.048,27,10,10,9,9,9,9,9,0,9,9,10,10,9,14.442,80.649,81.794,27,0,1,0,0,1,1,1,1,1,0,1,0,0,6.957,21.409,22.859,9,NA,NA,4,NA,NA,NA,7.342,72.61,74.015,34,5,5,5,1,1,5,4,5,4,2,4,4,4,4,4,4,4,2,2,4,3.342,63.806,65.384,45,6,6,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,6,7,1,7,7,7,7,7,1.805,5.816,6.555,5,Female,NA,Associate degree in college (2-year),NA,> 3 years,Never Married,Working (paid employee),NA,"Production, transportation, and material moving",NA,221,30,9,15,67,1,35,20,15,47,20,Qual2591-0129-S1,73543697,10459396,605517ac-3861-dd03-2c10-6cdfc5b707be,NA,NA,NA,NA,1,NA,359
2021-03-19 14:38:13,2021-03-19 16:23:40,IP Address,174.195.138.4,100,6326,True,2021-03-19 16:23:41,R_3CISua0HACVxFFn,NA,NA,NA,NA,33.5471954345703125,-117.6237945556640625,anonymous,EN,0.8000000000000000444089209850062616169452667236328125,NA,0,0,NA,Yes,10/12/1989,31,Filipina/o/x,NA,"$20,000 to $29,999",16.878,62.467,63.995,15,4,5,4,4,4,4,1.385,44.461,47.593,41,1,1,1,1,1,1,1,1,2,-2,-1,1,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,-2,-2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,11.99,39.637,40.856,12,NA,NA,NA,NA,NA,1.961,21.974,29.673,13,3,3,3,3,3,1.59,62.538,63.799,46,3,3,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,3,3,3,1.706,18.857,19.995,26,0,0,0,0,0,0,0,0,0,0,0.867,144.432,148.108,17,4,0,NA,NA,1.382,12.834,14.714,17,4,4,4,NA,NA,NA,4,1.138,27.621,29.121,32,2,2,2,2,2,2,2,2,0,2,2,4.352,44.595,45.953,9,6,9,8,9,52.887,76.254,77.585,41,7,8,8,7,6,6,6,0,9,9,9,9,9,0.908,23.816,24.2,32,0,0,0,0,1,0,1,0,1,1,0,0,1,2.723,10.001,11.448,14,NA,NA,NA,NA,NA,NA,10.954,40.426,41.927,47,4,3,4,2,2,4,4,4,4,2,3,4,4,4,4,4,4,2,2,4,31.316,172.224,176.225,67,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,0,6,5,6,6,6,2.183,4.728,5.973,5,Female,NA,Some college but no degree,92880,> 3 years,Married,Not working (temporary layoff from a job),NA,Unemployed,NA,187,25,10,15,47,0,25,20,14,24,23,Qual2591-0129-S1,73543697,10459396,60550bbe-043b-5266-0d0e-142c17d27977,NA,NA,NA,NA,1,NA,359
2021-03-19 16:08:19,2021-03-19 16:25:51,IP Address,24.198.79.141,100,1051,True,2021-03-19 16:25:51,R_2WBhkBcPxyMUsWE,NA,NA,NA,NA,43.084197998046875,-75.22869873046875,anonymous,EN,1,NA,0,0,NA,Yes,"Friday, march, 19",39,Native Hawaiian/Pacific Islander,NA,"$70,000 to $79,999",3.483,16.944,17.95,16,4,4,NA,NA,4,4,0.527,26.337,26.806,33,2,1,-1,2,2,-1,1,3,1,2,-1,1,1,-1,2,2,1,-1,2,2,-1,1,1,-1,2,-1,-1,1,1,-1,2,2,-1,3,3,-1,1,1,2,-1,2,-1,2,3,1,2,-1,-1,0,-1,2,2,-2,2,3,-1,1,2,0.757,14.626,15.909,14,NA,NA,NA,NA,NA,0.421,8.696,10.225,11,3,3,2,4,3,0.694,42.659,43.886,45,4,3,4,2,3,1,2,2,3,4,2,3,1,5,4,2,3,2,5,1,1.742,52.277,53.246,29,0,0,0,1,0,0,0,0,0,0,3.403,27.395,27.953,18,4,4,Yard or personal garden,11 (Light),42.869,81.675,83.229,16,4,2,NA,2,4,1,2,2.225,65.742,66.998,26,2,2,3,2,1,2,2,1,1,3,2,1.011,14.978,16.316,16,8,8,7,8,9.281,73.906,75.324,44,8,7,9,9,7,8,8,1,7,8,8,6,7,0.498,44.702,46.02,30,0,0,0,1,1,0,1,1,1,1,1,1,1,2.908,31.85,32.996,13,4,4,4,4,2,NA,12.72,88.963,89.507,49,4,4,2,3,2,2,4,4,4,3,4,4,4,3,4,4,4,3,3,4,1.405,57.417,61.241,71,3,3,4,4,3,3,4,4,2,3,4,2,3,4,5,6,3,5,5,1,5,3,4,4,2,0.665,4.554,5.538,7,Male,NA,Bachelor's degree in college (4-year),10032,1 - 3 years,Never Married,Working (paid employee),NA,"Management, professional, and related",NA,190,22,12,15,56,1,18,20,15,36,20,Qual2591-0129-S1,73543697,10459396,605520b0-fa2e-63bd-0512-1eabd2112b52,NA,NA,NA,NA,1,NA,359
